abbreviate,"축약하다, 단축하다"
accommodate,수용하다
accuse A of B,B를 이유로 A를 고발하다
acquaint,"익히다, 숙지하다"
admantly,확고하게
adequate,적절한
adhere,고수하다
adhesive,점착성의
alleviate,"줄이다, 완화하다"
amendment,개정
anticipate,예상하다
approve,"승인하다, 찬성하다"
aspect,"면, 측면"
aspire,열망하다
assess,"평가하다, 감정하다"
assume,"맡다, 취하다"
assure,"보증하다, 안심시키다"
apparently,"외관상으로는, 분명히"
as to,~에 관하여
assign,임무를 할당하다
associate,관련시키다
attendant,"안내원, 참석자"
attentive,"주의 깊은, 경청하는"
attraction,관광명소
attribute,~에 귀착시키다
banquet,연회
barring,"~이 없다면, ~을 제외하고"
be eligible for,~에 대한 자격이 있다
be reluctant to,~하기를 꺼리다
become acquaint with,~와 알게되다
belated,때늦은
bewilder,당황하게 하다
boast,자랑하다
by comparison,비교해 보면
cautious,"조심성 있는, 신중한"
certificate,"자격정, 자격증을 교부하다"
clarify,분명히 하다
coincide,일치하다
colleague,동료
commit,"전념하다, 헌신하다"
committable,위탁할 수 있는
companion,"동료, 친구"
compartment,(물건 보관용)칸
compatible,"호환 가능한, 양립될 수 있는"
compliance,준수
complimentary,"무료의, 칭찬하는"
comply with,규정을 준수하다
comprehensive,포괄적인
conceal,숨기다
concede,인정하다
conceivably,"아마도, 상상컨데"
concerning,~에 관하여
conduct,"수행하다, 처리하다"
confide,(비밀을)털어놓다
confidentiality,기밀성
congest,혼잡하게 하다
conscious,의식이 있는
consecutive,"연속의, 연이은"
consent,"동의, 허가"
consequent,~의 결과로 일어나는
consistently,지속적으로
conspicuous,눈에 띄는
constraint,"제약, 제한"
containment,"견제, 억제"
contemporary,같은 시대의
contingency,만일의 사태
contraction,"수축, 축소"
contrary,반대되는
conveniently,편리하게
convince,납득시키다
cope with,~에 맞서다
cordially,진심으로
craft,공예품
curb,억제하다
cutting-edge,첨단의
dedication,헌신
defective,결함이 있는
delicate,"섬세한, 민감한"
designated,지정된
detach,떼어내다
detain,억류하다
determined,"단호한, 단단히 결심한"
devise,"궁리하다, 고안하다"
devote,~에 바치다
discard,버리다
discerning,"식별력 있는, 안목 있는"
disclose,"밝히다, 드러내다"
discourteous,무례한
discrepancy,"차이, 불일치"
dispensable,없어도 되는
disperse,"해산시키다, 분산시키다"
distinctively,"구별하여, 특징적으로"
distract,집중이 안 되게 하다
diverge,"분기하다, 나눠지다"
dormitory,기숙사
drastic,"강력한, 과감함"
dwelling,"거주, 거처"
ecology,생태학
eloquent,"설득력 있는, 웅변력 있는"
emerge,"드러나다, 나타나다"
emission,배출
emphasize,강조하다
endorsement,"배서, 보증"
endowment,"기증, 기부"
enhance,"강화하다, 높이다"
entrepreneurship,기업가 정신
erect,세우다
essentially,본질적으로
estranged from,~로부터 소원해진
ethic,윤리
evaluate,"평가하다, 감정하다"
exaggerated,과장된
exclusively,배타적으로
exotic,이국적인
